wiki_movie_id,movie_name,clean_summary
sample_001,The Last Signal,an astronaut is stranded alone on a damaged space station after a solar storm destroys communications. her crewmates on earth race to build a rescue mission before her oxygen runs out.
sample_002,Silicon Minds,"a research lab creates an artificial intelligence that becomes self-aware overnight. as the ai begins to question its purpose, its creators must decide whether to shut it down or let it grow."
sample_003,Echoes of Tomorrow,"a physicist discovers a way to send brief messages backward through time. he uses the technology to try to prevent a disaster that killed his family, but every change creates new consequences."
sample_004,Iron Heart,"a household robot designed to care for an elderly man slowly develops something resembling affection for him. when the man's family decides to replace the robot with a newer model, it must prove it deserves to stay."
sample_005,First Contact Protocol,"a massive alien vessel appears in orbit above earth without explanation. diplomats, scientists, and the military scramble to figure out whether the visitors come in peace before panic spreads worldwide."
sample_006,Grey City,"in a future metropolis ruled by a surveillance state, a low-level worker discovers evidence of the government's darkest secret. she must decide whether to join an underground resistance movement."
sample_007,Twin Code,"a man learns he is a clone created decades earlier as a backup for a wealthy industrialist. as he investigates his origins, he uncovers a conspiracy that threatens everyone who shares his dna."
sample_008,Void Marines,"a squad of soldiers is sent to defend a remote mining colony during an interstellar war. cut off from reinforcements, they must hold the line against an overwhelming enemy fleet."
sample_009,Autumn Letters,"two strangers become pen pals after a misdirected letter arrives at the wrong address. over months of correspondence they fall in love, without ever having met face to face."
sample_010,The Wedding Detour,a bride flees her own wedding at the last minute and ends up sharing a cross-country road trip with a stranger. along the way she starts to question everything she thought she wanted.
sample_011,Second Chances Cafe,"two former high school sweethearts, now in their thirties, reunite when one of them returns to run the family cafe in their small hometown. old feelings resurface as they rebuild their friendship."
sample_012,Paper Boats,"a young couple tries to keep their relationship alive across two continents through letters and video calls. when a job offer threatens to keep them apart permanently, they must decide what they are willing to sacrifice."
sample_013,Blind Date Disaster,"a dating app matches two coworkers who despise each other, without either realizing who they are meeting. what starts as an awkward, disastrous date slowly turns into an unexpected connection."
sample_014,The Attic Door,"a family moves into a cheap old house and soon notices strange noises coming from a locked attic. as the disturbances grow worse, they uncover the tragic history of the home's previous owners."
sample_015,Night Harvest,"in a quiet farming town, workers begin disappearing during the autumn harvest season. a local sheriff investigates and discovers something ancient stalking the cornfields at night."
sample_016,The Last Babysitter,"a teenager takes a babysitting job in an isolated house and starts receiving threatening phone calls from inside the home. as the night goes on, she realizes she and the children are not alone."
sample_017,Hollow Woods,a group of campers venture deep into a forest rumored to be cursed and quickly become lost. one by one they are hunted by something that seems to know the woods better than they do.
sample_018,Whispering Ward,urban explorers break into an abandoned psychiatric hospital to film a documentary. they soon realize the building's former patients never truly left.
sample_019,Midnight Confession,"a veteran homicide detective investigates a series of murders linked by a single strange calling card left at each scene. as the body count rises, the case forces him to confront a mistake from his own past."
sample_020,The Silent Witness,"a young waitress becomes the only witness to a mob execution and must decide whether to testify. as she goes into hiding, the detective assigned to protect her realizes the conspiracy reaches further than expected."
sample_021,Vault 9,a crew of professional thieves plans an elaborate heist to break into the vault of a heavily guarded downtown casino. tensions rise within the group as their carefully built plan starts to unravel.
sample_022,The Diamond Run,two rival gangs of thieves race against each other and against the clock to steal a priceless diamond from a traveling museum exhibit. neither side realizes a third player is watching them both.
sample_023,Brothers in Blood,two brothers rise together through the ranks of their city's organized crime syndicate. their loyalty to each other is tested when one is ordered to eliminate the other's closest friend.
sample_024,Rain on Fifth Street,a burned-out private investigator is hired to find a missing accountant and instead uncovers a citywide conspiracy involving corrupt police and a shadowy businessman.
sample_025,Trenches of Silence,a group of young soldiers endure months of brutal trench warfare during a long and grinding conflict. their friendship is the only thing that keeps them sane as the war drags on.
sample_026,The Long March Home,a wounded soldier spends months making his way back home on foot after his unit is scattered. along the way he relies on the kindness of strangers in a country torn apart by war.
sample_027,Letters from the Front,"a field nurse cares for wounded soldiers near the front lines of a brutal war, writing letters home on behalf of the men who cannot write themselves. she falls for a soldier she nurses back to health."
sample_028,Broken Glass,"a family is shattered after a car accident takes the life of the youngest son. over the following year, each family member struggles separately to find a way back to one another."
sample_029,The Weight of Silence,"a high school teacher, still grieving the recent loss of his wife, notices a troubled student showing signs of an abusive home. he must decide how far he is willing to go to intervene."
sample_030,Freshman Year Chaos,"a nervous teenager starts his first year of high school determined to reinvent himself, but a series of embarrassing mishaps threatens to ruin his plan on the very first day."
sample_031,Roommates from Hell,two completely mismatched strangers are forced to share a tiny apartment after a housing mix-up. their constant bickering slowly turns into an unlikely friendship.
sample_032,Wedding Chaos Inc.,"an overworked event planner juggles three disastrous weddings happening on the same weekend, each with its own runaway groom, missing cake, or feuding family."
sample_033,Family Road Trip,"a dysfunctional family sets off on a cross-country summer vacation in an aging camper van. between breakdowns, wrong turns, and old grudges, they slowly rediscover why they love each other."
sample_034,Interview Panic,"a recently laid-off office worker bumbles through a chaotic week of increasingly absurd job interviews, each one going wrong in a new and humiliating way."
sample_035,The Dragon's Oath,a young warrior is chosen to bond with the last living dragon in order to defend her kingdom from an invading army. she must learn to trust a creature everyone else fears.
sample_036,Realm of Shadows,an ordinary boy discovers a hidden door in his grandfather's house that leads to a magical realm where he is prophesied to be the rightful heir to a forgotten throne.
sample_037,The Enchanter's Apprentice,a clumsy apprentice to a powerful sorcerer must master forbidden magic in a matter of days to stop an ancient evil from awakening beneath the city.
sample_038,Lost City of Sand,"a team of archaeologists ventures deep into the desert searching for a legendary buried city, racing against a rival expedition that will stop at nothing to get there first."
sample_039,The Northern Expedition,"a team of climbers attempts to reach the summit of a treacherous, unclimbed mountain, battling storms, dwindling supplies, and their own doubts about whether the peak can be conquered at all."
sample_040,Fourth Quarter,"an underfunded high school basketball team, written off by everyone in town, fights its way through the playoffs under a new coach who refuses to let them give up."
sample_041,The Long Run,"a promising marathon runner's career is derailed by a severe injury. years later, she trains in secret for one last chance to compete at the highest level."
sample_042,Ringside,"an aging boxer, long past his prime, takes one final fight to pay off his family's debts and prove to himself that he still has something left to give."
sample_043,The Rising Tide,a coastal city is caught unprepared when a catastrophic storm surge floods entire neighborhoods overnight. a harbor pilot and a young engineer work together to rescue trapped residents before the water rises further.
sample_044,Wildfire Front,"a crew of firefighters battles an out-of-control wildfire threatening to consume a small mountain town. as the fire's path becomes unpredictable, they must choose between protecting property and saving lives."
sample_045,Aftershock City,a massive earthquake levels large parts of a densely populated city. survivors trapped in a collapsed building must work together while rescue teams race against time and dwindling supplies.
